© 2000-2022 QIAGEN. All rights reserved.

Categories	Diseases or Functions Annotation	p-value	Molecules	# Molecules
Dermatological Diseases and Conditions,Inflammatory Disease,Inflammatory Response,Organismal Injury and Abnormalities	Dermatitis	9.03E-21	AIM2,APOBEC3A,BCL2L14,CCL20,CCL23,CCL5,CCR7,CD80,CRLF2,CXCL13,CXCL8,EREG,ETV7,IFI27,IFI44L,IFIT1,IFIT3,IL1A,IL1B,IL27,IL2RA,ISG15,JAK3,LAMP3,MX1,OASL,PDE4B,PTGIR,PTGS2,RSAD2,SOCS2,SOCS3,THBS1,TNFSF10,ZBP1	35
Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking	Homing of leukocytes	1.78E-20	ADORA2A,CCL19,CCL20,CCL23,CCL4,CCL5,CCL8,CCR7,CD38,CXCL1,CXCL10,CXCL13,CXCL2,CXCL3,CXCL5,CXCL8,ENPP2,FPR2,IL12B,IL1A,IL1B,JAK3,MDK,PDE4B,PTGES,S100A12,SLAMF1,SOCS3,THBS1,TNFAIP6,WNT5A	31
Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking	Cell movement of granulocytes	3.46E-20	ADORA2A,AIM2,CCL19,CCL23,CCL4,CCL5,CCL8,CCR7,CFB,CRLF2,CXCL1,CXCL10,CXCL2,CXCL3,CXCL5,CXCL8,FPR2,IL12B,IL1A,IL1B,IL27,IL2RA,IRF7,JAK3,MDK,NCF1,PDE4B,PTGIR,PTGS2,S100A12,SOCS3,TNFAIP6	32
Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking	Cellular infiltration by granulocytes	3.93E-20	ADORA2A,AIM2,CCL19,CCL4,CCL5,CCR7,CFB,CRLF2,CXCL10,CXCL2,CXCL3,CXCL5,CXCL8,FPR2,IL12B,IL1A,IL1B,IL27,IL2RA,IRF7,JAK3,MDK,NCF1,PTGIR,PTGS2,SOCS3	26
Cell-To-Cell Signaling and Interaction,Hematological System Development and Function,Immune Cell Trafficking,Inflammatory Response	Activation of mononuclear leukocytes	5.31E-20	ADORA2A,AIM2,CCL4,CCL5,CCL8,CCR7,CD226,CD38,CD80,CXCL10,CXCL8,DDX58,HSH2D,IL12B,IL15RA,IL1A,IL1B,IL27,IL2RA,IRF4,JAK3,LAG3,NAMPT,NCF1,PAX5,S100A12,SIGLEC1,SIGLEC10,SLAMF1,SOCS2,STAT4,THBS1,TNFSF10,TRAF1,WNT5A	35
Cell-To-Cell Signaling and Interaction,Hematological System Development and Function,Immune Cell Trafficking,Inflammatory Response	Activation of T lymphocytes	6.07E-20	ADORA2A,AIM2,CCL4,CCL5,CCL8,CD226,CD38,CD80,CXCL10,CXCL8,DDX58,HSH2D,IL12B,IL15RA,IL1A,IL1B,IL27,IL2RA,IRF4,JAK3,LAG3,NAMPT,NCF1,SIGLEC1,SIGLEC10,SLAMF1,STAT4,THBS1,TNFSF10,TRAF1,WNT5A	31
Connective Tissue Disorders,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders	Non-traumatic arthropathy	6.45E-20	ADORA2A,CCL19,CCL20,CCL23,CCL4,CCL5,CCL8,CCR7,CD70,CD80,CEMIP,CFB,CLEC4D,CLEC4E,CXCL1,CXCL10,CXCL13,CXCL2,CXCL3,CXCL5,CXCL8,FPR2,G0S2,HELZ2,IL1A,IL1B,IL2RA,IL7R,JAK3,MDK,MN1,NAMPT,NCF1,PDE4B,PTGES,PTGS2,S100A12,SLC1A2,SOCS3,STAT4,THBS1,TNFAIP6,TNFSF10,TRAF1,WNT5A	45
Cellular Growth and Proliferation,Lymphoid Tissue Structure and Development	Proliferation of lymphatic system cells	6.77E-20	ADORA2A,CCL19,CCL20,CCL4,CCL5,CCR7,CD226,CD38,CD70,CD80,CFB,CLEC4D,CRLF2,CXCL10,CXCL3,CXCL8,EBI3,GCH1,HSH2D,IDO1,IL12B,IL15RA,IL1A,IL1B,IL27,IL2RA,IL7R,IRF4,ISG15,ISG20,JAK3,LAG3,MDK,PTGS2,SIGLEC1,SIGLEC10,SLAMF1,SNAI1,SOCS3,STAT4,THBS1,TNFSF10,TRAF1	43
Lymphoid Tissue Structure and Development,Tissue Morphology	Quantity of lymphatic system cells	6.83E-20	ADORA2A,AIM2,CALHM6,CCL19,CCL4,CCL5,CCR7,CD226,CD38,CD70,CD80,CLEC4D,CLEC4E,CRLF2,CXCL10,CXCL13,DDX58,EBI3,HESX1,IL12B,IL15RA,IL1A,IL1B,IL27,IL2RA,IL7R,IRF4,ISG15,ITGB8,JAK3,LAG3,MDK,MYO1G,PAX5,PTGIR,SERPINB2,SIGLEC1,SIGLEC10,SOCS3,STAT4,THBS1,TNFSF10,TRAF1,WNT5A	44
Cell-To-Cell Signaling and Interaction,Inflammatory Response	Immune response of leukocytes	8.13E-20	ADORA2A,CCL19,CCL20,CCL4,CCR7,CD226,CD38,CD70,CD80,CXCL1,CXCL10,CXCL3,CXCL8,DDX58,HSH2D,IL12B,IL1B,IL27,IL2RA,IL7R,IRF4,ISG15,ITGB8,MYO1G,NAMPT,SIGLEC1,SOCS3,THBS1,WNT5A	29
Infectious Diseases,Organismal Injury and Abnormalities	Severe COVID-19	9.20E-20	CCL4,CCL5,CD38,CFB,CXCL10,CXCL8,IFI27,IFI44L,IFIT3,IL1B,IL27,IRF7,ISG15,MX1,MX2,PLAC8,RSAD2,S100A12,SIGLEC1,VCAN,XAF1	21
Cell-To-Cell Signaling and Interaction,Hematological System Development and Function,Immune Cell Trafficking,Inflammatory Response	Activation of lymphocytes	1.12E-19	ADORA2A,AIM2,CCL4,CCL5,CCL8,CCR7,CD226,CD38,CD80,CXCL10,CXCL8,DDX58,HSH2D,IL12B,IL15RA,IL1A,IL1B,IL27,IL2RA,IRF4,JAK3,LAG3,NAMPT,NCF1,PAX5,SIGLEC1,SIGLEC10,SLAMF1,SOCS2,STAT4,THBS1,TNFSF10,TRAF1,WNT5A	34
Endocrine System Disorders,Gastrointestinal Disease,Immunological Disease,Metabolic Disease,Organismal Injury and Abnormalities	Insulin-dependent diabetes mellitus	1.18E-19	AIM2,CALHM6,CCL19,CCL4,CCL5,CCR7,CD226,CD38,CD70,CD80,CFB,CXCL10,CXCL13,CXCL8,GBP4,IFIT2,IFIT3,IL12B,IL1A,IL1B,IL2RA,IL7R,IRF4,IRF7,NCF1,PTGS2,SIGLEC10,SOCS2,STAT4,TNFSF10,XAF1,ZBP1	32
Dermatological Diseases and Conditions,Immunological Disease,Inflammatory Disease,Inflammatory Response,Organismal Injury and Abnormalities	Autoimmune bullous skin disease	1.26E-19	AIM2,APOBEC3A,BCL2L14,CD80,CXCL8,ETV7,IFI27,IFI44L,IFIT1,IFIT3,IL1A,IL1B,ISG15,LAMP3,MX1,OASL,RSAD2,THBS1,TNFSF10	19
Hematological System Development and Function,Tissue Morphology	Quantity of mononuclear leukocytes	1.82E-19	ADORA2A,AIM2,CALHM6,CCL19,CCL4,CCL5,CCR7,CD38,CD70,CD80,CLEC4D,CLEC4E,CRLF2,CXCL10,CXCL13,CXCL8,DDX58,EBI3,HESX1,IL12B,IL15RA,IL1A,IL1B,IL27,IL2RA,IL7R,IRF4,ISG15,ITGB8,JAK3,LAG3,MDK,MYO1G,PAX5,PTGIR,SERPINB2,SIGLEC1,SIGLEC10,SOCS3,STAT4,THBS1,TRAF1,WNT5A	43
Digestive System Development and Function,Gastrointestinal Disease,Hepatic System Development and Function,Hepatic System Disease,Inflammatory Disease,Inflammatory Response,Organ Development,Organismal Injury and Abnormalities	Inflammation of liver	2.10E-19	ADORA2A,AIM2,CCL20,CCL4,CCL5,CCL8,CCR7,CXCL1,CXCL10,CXCL2,CXCL3,CXCL5,CXCL8,CYP2E1,DDX58,GBP5,IFIT2,IFIT3,IL12B,IL1A,IL1B,IL2RA,IL7R,IRF7,ISG15,NAMPT,PDE4B,SOCS3,STAT4,TNFSF10	30
Infectious Diseases,Organismal Injury and Abnormalities	Infection by RNA virus	2.51E-19	ADORA2A,CCL20,CCL4,CCL5,CCL8,CCR7,CD38,CD70,CD80,CFB,CXCL1,CXCL10,CXCL2,CXCL5,CXCL8,DDX58,EHF,EPSTI1,GCH1,IDO1,IFI27,IFI44L,IFIT1,IFIT2,IFIT3,IFITM1,IL1A,IL1B,IL27,IL2RA,IL7R,IRF4,IRF7,ISG15,ISG20,JAK3,KCNJ5,MT1X,MT2A,MX1,MX2,NAMPT,PDE4B,PLAC8,PTGS2,RSAD2,S100A12,SIGLEC1,TNFSF10,VCAN,XAF1	51
Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking,Inflammatory Response	Cell movement of neutrophils	3.14E-19	ADORA2A,AIM2,CCL19,CCL23,CCL4,CCL5,CCL8,CCR7,CFB,CXCL1,CXCL10,CXCL2,CXCL3,CXCL5,CXCL8,FPR2,IL1A,IL1B,IL27,IL2RA,IRF7,JAK3,MDK,NCF1,PDE4B,PTGS2,S100A12,SOCS3,TNFAIP6	29
Infectious Diseases,Organismal Injury and Abnormalities	Neonatal late-onset sepsis	3.87E-19	ADORA2A,DDX58,IFI27,IFIT2,IFIT3,IFITM1,IL15RA,IL1A,IL1B,IL7R,IRF7,ISG15,JAK3,MT2A,MX1,NAMPT,PDE4B,SOCS3,THBS1,TNFSF10,XAF1	21
Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking,Inflammatory Response	Chemotaxis of leukocytes	4.52E-19	ADORA2A,CCL19,CCL20,CCL23,CCL4,CCL5,CCL8,CCR7,CD38,CXCL1,CXCL10,CXCL13,CXCL2,CXCL3,CXCL5,CXCL8,FPR2,IL12B,IL1A,IL1B,MDK,PDE4B,PTGES,S100A12,SLAMF1,SOCS3,THBS1,TNFAIP6,WNT5A	29
Infectious Diseases,Organismal Injury and Abnormalities	Sepsis	7.18E-19	ACOD1,ADORA2A,CXCL8,DDX58,ENPP2,IFI27,IFIT2,IFIT3,IFITM1,IL15RA,IL1A,IL1B,IL27,IL7R,IRF7,ISG15,JAK3,KCNJ5,MT2A,MX1,NAMPT,OASL,PDE4B,PTGS2,SOCS3,STAT4,THBS1,TNFSF10,XAF1	29
Cell-To-Cell Signaling and Interaction,Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking	Recruitment of leukocytes	7.27E-19	CCL19,CCL20,CCL23,CCL4,CCL5,CCR7,CLEC4E,CXCL1,CXCL10,CXCL13,CXCL2,CXCL3,CXCL5,CXCL8,DDX58,FPR2,IDO1,IL15RA,IL1A,IL1B,IL2RA,IRF7,MCOLN2,MDK,PDE4B,SNAI1,THBS1,VCAN	28
Cell-To-Cell Signaling and Interaction,Cellular Movement	Recruitment of myeloid cells	1.04E-18	CCL19,CCL20,CCL23,CCL4,CCL5,CCR7,CLEC4E,CXCL1,CXCL10,CXCL2,CXCL3,CXCL5,CXCL8,FPR2,IDO1,IL15RA,IL1A,IL1B,IL2RA,IRF7,MCOLN2,MDK,PDE4B,SNAI1,THBS1,VCAN	26
Cell-To-Cell Signaling and Interaction,Cellular Movement	Recruitment of cells	1.25E-18	CCL19,CCL20,CCL23,CCL4,CCL5,CCR7,CLEC4E,CXCL1,CXCL10,CXCL13,CXCL2,CXCL3,CXCL5,CXCL8,DDX58,FPR2,IDO1,IL15RA,IL1A,IL1B,IL2RA,IRF7,MCOLN2,MDK,PDE4B,PTGS2,SNAI1,THBS1,VCAN	29
Hematological System Development and Function,Lymphoid Tissue Structure and Development,Tissue Morphology	Quantity of lymphocytes	1.64E-18	ADORA2A,AIM2,CALHM6,CCL19,CCL4,CCL5,CCR7,CD38,CD70,CD80,CLEC4D,CLEC4E,CRLF2,CXCL10,CXCL13,DDX58,EBI3,HESX1,IL12B,IL15RA,IL1B,IL27,IL2RA,IL7R,IRF4,ISG15,ITGB8,JAK3,LAG3,MDK,MYO1G,PAX5,PTGIR,SERPINB2,SIGLEC1,SIGLEC10,SOCS3,STAT4,THBS1,TRAF1,WNT5A	41
Cellular Development,Cellular Growth and Proliferation,Hematological System Development and Function,Lymphoid Tissue Structure and Development	Proliferation of mononuclear leukocytes	2.95E-18	ADORA2A,CCL19,CCL4,CCL5,CCR7,CD226,CD38,CD70,CD80,CFB,CLEC4D,CRLF2,CXCL2,CXCL8,EBI3,GCH1,HSH2D,IDO1,IL12B,IL15RA,IL1A,IL1B,IL27,IL2RA,IL7R,IRF4,ISG15,ISG20,JAK3,LAG3,MDK,PTGS2,SIGLEC1,SIGLEC10,SLAMF1,SOCS3,STAT4,THBS1,TNFSF10,TRAF1	40
Cellular Development,Cellular Growth and Proliferation,Hematological System Development and Function,Hematopoiesis,Lymphoid Tissue Structure and Development,Tissue Development	Differentiation of mononuclear leukocytes	2.98E-18	CCL19,CCL23,CCL5,CCR7,CD226,CD38,CD70,CD80,CLEC4E,CRLF2,CXCL1,CXCL10,CXCL5,CXCL8,DDX58,IDO1,IL12B,IL15RA,IL1A,IL1B,IL27,IL2RA,IL7R,IRF4,IRF7,ITGB8,JAK3,MDK,PAX5,PTGS2,RSAD2,SIGLEC10,SLAMF1,SNAI1,SOCS2,SOCS3,STAT4,TNFSF10,WNT5A	39
Cellular Development,Cellular Growth and Proliferation,Hematological System Development and Function,Lymphoid Tissue Structure and Development	Cell proliferation of T lymphocytes	3.38E-18	ADORA2A,CCL19,CCL4,CCL5,CCR7,CD226,CD38,CD70,CD80,CLEC4D,CRLF2,CXCL8,EBI3,GCH1,HSH2D,IDO1,IL12B,IL15RA,IL1A,IL1B,IL27,IL2RA,IL7R,IRF4,ISG20,JAK3,LAG3,MDK,PTGS2,SIGLEC1,SLAMF1,SOCS3,STAT4,THBS1,TNFSF10,TRAF1	36
Dermatological Diseases and Conditions,Immunological Disease,Organismal Injury and Abnormalities	Pemphigus	3.68E-18	AIM2,APOBEC3A,BCL2L14,CD80,CXCL8,ETV7,IFI27,IFI44L,IFIT1,IFIT3,ISG15,LAMP3,MX1,OASL,PTGS2,RSAD2,THBS1,TNFSF10	18
Cellular Development,Cellular Growth and Proliferation,Hematological System Development and Function,Lymphoid Tissue Structure and Development	Proliferation of immune cells	3.82E-18	ADORA2A,CCL19,CCL4,CCL5,CCR7,CD226,CD38,CD70,CD80,CFB,CLEC4D,CRLF2,CXCL2,CXCL3,CXCL8,EBI3,GCH1,HSH2D,IDO1,IL12B,IL15RA,IL1A,IL1B,IL27,IL2RA,IL7R,IRF4,ISG15,ISG20,JAK3,LAG3,MDK,PTGS2,SIGLEC1,SIGLEC10,SLAMF1,SOCS3,STAT4,THBS1,TNFSF10,TRAF1	41
Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking,Inflammatory Response	Chemotaxis of phagocytes	4.52E-18	ADORA2A,CCL19,CCL20,CCL23,CCL4,CCL5,CCL8,CCR7,CD38,CXCL1,CXCL10,CXCL2,CXCL3,CXCL5,CXCL8,FPR2,IL12B,IL1A,IL1B,MDK,PDE4B,PTGES,S100A12,SLAMF1,THBS1,TNFAIP6	26
Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking	Cell movement of antigen presenting cells	4.93E-18	ADAM19,ADORA2A,AIM2,C1QTNF1,CCL19,CCL20,CCL4,CCL5,CCR7,CD38,CD80,CXCL1,CXCL10,CXCL13,CXCL3,CXCL8,FPR2,IL12B,IL15RA,IL1A,IL1B,IRF7,MDK,PDPN,PTGES,PTGS2,SLAMF1,THBS1,VCAN,WNT5A	30
Digestive System Development and Function,Gastrointestinal Disease,Hepatic System Development and Function,Hepatic System Disease,Inflammatory Disease,Inflammatory Response,Organ Development,Organismal Injury and Abnormalities,Psychological Disorders	Alcoholic hepatitis	5.37E-18	ADORA2A,CXCL1,CXCL10,CXCL2,CXCL5,CXCL8,IFIT2,IFIT3,IL1A,IL1B,IRF7,ISG15,PDE4B	13
Inflammatory Response	Immune response of cells	6.57E-18	ADORA2A,CCL19,CCL20,CCL4,CCR7,CD226,CD38,CD70,CD80,CXCL1,CXCL10,CXCL3,CXCL8,DDX58,FPR2,HSH2D,IL12B,IL15RA,IL1B,IL27,IL2RA,IL7R,IRF4,IRF7,ISG15,ITGB8,MYO1G,NAMPT,NCF1,S100A12,SIGLEC1,SIGLEC10,SOCS3,THBS1,TNFSF10,WNT5A	36
Cell-To-Cell Signaling and Interaction,Hematological System Development and Function,Immune Cell Trafficking,Inflammatory Response	Activation of phagocytes	7.30E-18	CCL20,CCL4,CCL5,CCL8,CCR7,CD226,CD80,CLEC4D,CLEC4E,CRLF2,CXCL1,CXCL10,CXCL3,CXCL5,CXCL8,DDX58,FPR2,IDO1,IL1A,IL1B,IL27,NAMPT,PTGES,PTGS2,S100A12,STAT4,THBS1,TNFSF10,WNT5A	29
Immunological Disease,Organismal Injury and Abnormalities	Active stage immunological disorder	7.61E-18	CD80,IFI44L,IFIT1,IFIT3,IL12B,IL1A,IL1B,IRF7,ISG15,JAK3,MT1H,MT1X,MX1,MX2,PDE4B,PTGS2,RSAD2,SOCS3	18
Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking,Inflammatory Response	Migration of phagocytes	7.93E-18	ADORA2A,CCL19,CCL20,CCL4,CCL5,CCL8,CCR7,CD38,CD80,CXCL1,CXCL10,CXCL13,CXCL2,CXCL3,CXCL5,CXCL8,FPR2,IL12B,IL1B,MDK,PDE4B,PDPN,PTGS2,SOCS3,VCAN,WNT5A	26
Cellular Function and Maintenance	Homeostasis of leukocytes	1.06E-17	CCL19,CCL5,CCR7,CD226,CD38,CD70,CD80,CLEC4E,CXCL1,CXCL10,CXCL5,DDX58,IDO1,IL12B,IL15RA,IL1A,IL1B,IL27,IL2RA,IL7R,IRF4,ITGB8,JAK3,LAG3,MDK,PAX5,PDE4B,PTGS2,RSAD2,SLAMF1,SOCS2,SOCS3,STAT4,TNFSF10,WNT5A	35
Cellular Development,Cellular Growth and Proliferation,Hematological System Development and Function,Lymphoid Tissue Structure and Development	Proliferation of lymphocytes	1.18E-17	ADORA2A,CCL19,CCL4,CCL5,CCR7,CD226,CD38,CD70,CD80,CFB,CLEC4D,CRLF2,CXCL8,EBI3,GCH1,HSH2D,IDO1,IL12B,IL15RA,IL1A,IL1B,IL27,IL2RA,IL7R,IRF4,ISG15,ISG20,JAK3,LAG3,MDK,PTGS2,SIGLEC1,SIGLEC10,SLAMF1,SOCS3,STAT4,THBS1,TNFSF10,TRAF1	39
Gastrointestinal Disease,Hepatic System Disease,Organismal Injury and Abnormalities,Psychological Disorders	Alcoholic liver disease	1.55E-17	ADORA2A,CXCL1,CXCL10,CXCL2,CXCL5,CXCL8,CYP2E1,IFIT2,IFIT3,IL1A,IL1B,IRF7,ISG15,PDE4B	14
Gastrointestinal Disease,Organismal Injury and Abnormalities	Damage of digestive system	1.56E-17	ADORA2A,CCL4,CCL5,CD80,CFB,CXCL1,CXCL10,CXCL3,CYP2E1,EBI3,FPR2,GBP5,IL12B,IL15RA,IL1A,IL1B,IL27,IL7R,NCF1,PTGS2,STAT4,TNFAIP6,TNFSF10,TRAF1	24
Tissue Morphology	Quantity of cells	1.68E-17	ADORA2A,AIM2,CALHM6,CCL19,CCL20,CCL4,CCL5,CCR7,CD226,CD38,CD70,CD80,CEMIP,CLEC4D,CLEC4E,CRLF2,CXCL1,CXCL10,CXCL13,CXCL2,CXCL8,DDX58,EBI3,ETV7,FPR2,HESX1,HPN,IDO1,IL12B,IL15RA,IL1A,IL1B,IL27,IL2RA,IL7R,IRF4,ISG15,ITGB8,JAK3,LAG3,MDK,MT2A,MYO1G,NKX3-1,PAX5,PDE4B,PLAC8,PLXNA4,PTGES,PTGIR,PTGS2,SERPINB2,SIGLEC1,SIGLEC10,SNAI1,SOCS3,STAT4,THBS1,TNFAIP6,TNFSF10,TRAF1,UNC13A,VCAN,WNT5A	64
Cellular Development,Cellular Growth and Proliferation,Hematological System Development and Function,Hematopoiesis,Lymphoid Tissue Structure and Development,Tissue Development	Hematopoiesis of mononuclear leukocytes	1.81E-17	CCL19,CCL23,CCL5,CCR7,CD226,CD38,CD70,CD80,CLEC4E,CRLF2,CXCL1,CXCL10,CXCL5,DDX58,IDO1,IL12B,IL15RA,IL1A,IL1B,IL27,IL2RA,IL7R,IRF4,IRF7,ITGB8,JAK3,MDK,PAX5,PTGS2,RSAD2,SIGLEC10,SLAMF1,SNAI1,SOCS2,SOCS3,STAT4,TNFSF10,WNT5A	38
Cellular Function and Maintenance	Cellular homeostasis	2.40E-17	ADORA2A,ANGPTL4,C1QTNF1,CCL19,CCL20,CCL23,CCL4,CCL5,CCL8,CCR7,CD226,CD38,CD70,CD80,CLEC4E,CXCL1,CXCL10,CXCL13,CXCL2,CXCL3,CXCL5,CXCL8,CYP2E1,DDX58,FPR2,HELZ2,IDO1,IL12B,IL15RA,IL1A,IL1B,IL27,IL2RA,IL7R,IRF4,IRF7,ITGB8,JAK3,KCNJ5,LAG3,LAMP3,MAP1LC3A,MDK,MT2A,NAMPT,NCF1,PAX5,PDE4B,PLAC8,PTGES,PTGS2,RSAD2,SLAMF1,SLC8A3,SNAI1,SOCS2,SOCS3,STAT4,TNFSF10,WNT5A	60
Cell-To-Cell Signaling and Interaction,Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking,Inflammatory Response	Recruitment of phagocytes	2.55E-17	CCL19,CCL20,CCL23,CCL4,CCL5,CCR7,CLEC4E,CXCL1,CXCL10,CXCL2,CXCL3,CXCL5,CXCL8,FPR2,IDO1,IL1A,IL1B,IL2RA,MCOLN2,MDK,PDE4B,SNAI1,THBS1,VCAN	24
Cell Death and Survival,Organismal Injury and Abnormalities	Cell death of immune cells	2.85E-17	ADORA2A,AIM2,CCL19,CCL4,CCL5,CCR7,CD226,CD38,CD70,CD80,CXCL1,CXCL10,CXCL2,CXCL8,HSH2D,IDO1,IL15RA,IL1A,IL1B,IL27,IL2RA,IL7R,IRF4,ISG15,JAK3,LAG3,MX1,NAMPT,PAX5,SERPINB2,STAT4,THBS1,TNFSF10,TRAF1,WNT5A,ZBP1	36
Cell-To-Cell Signaling and Interaction,Cellular Movement,Immune Cell Trafficking	Attraction of phagocytes	3.57E-17	CCL19,CCL20,CCL4,CCL5,CXCL1,CXCL10,CXCL3,CXCL5,CXCL8,FPR2,IL12B,IL1B,VCAN	13
Cellular Function and Maintenance	Lymphocyte homeostasis	3.78E-17	CCL19,CCL5,CCR7,CD226,CD38,CD70,CD80,CLEC4E,CXCL1,CXCL10,CXCL5,DDX58,IDO1,IL12B,IL15RA,IL1A,IL1B,IL27,IL2RA,IL7R,IRF4,ITGB8,JAK3,LAG3,MDK,PAX5,PTGS2,RSAD2,SLAMF1,SOCS2,SOCS3,STAT4,TNFSF10,WNT5A	34
Cell-To-Cell Signaling and Interaction	Response of lymphatic system cells	3.95E-17	ADORA2A,CCL19,CCR7,CD226,CD38,CD70,CD80,CXCL8,EBI3,IL12B,IL1B,IL27,IL2RA,IL7R,ITGB8,LAG3,NAMPT,NCF1,OASL,SIGLEC10,SOCS3,STAT4	22
Cellular Development,Cellular Growth and Proliferation,Hematological System Development and Function,Hematopoiesis,Lymphoid Tissue Structure and Development,Tissue Development	Leukopoiesis	4.08E-17	CCL19,CCL23,CCL5,CCR7,CD226,CD38,CD70,CD80,CLEC4E,CRLF2,CXCL1,CXCL10,CXCL3,CXCL5,CXCL8,DDX58,IDO1,IL12B,IL15RA,IL1A,IL1B,IL27,IL2RA,IL7R,IRF4,IRF7,ITGB8,JAK3,MDK,PAX5,PLAC8,PTGS2,RSAD2,SIGLEC10,SLAMF1,SNAI1,SOCS2,SOCS3,STAT4,TNFSF10,WNT5A	41
Dermatological Diseases and Conditions,Immunological Disease,Inflammatory Disease,Inflammatory Response,Organismal Injury and Abnormalities	Pemphigus foliaceus	5.33E-17	AIM2,APOBEC3A,BCL2L14,ETV7,IFI27,IFI44L,IFIT1,IFIT3,ISG15,LAMP3,MX1,OASL,RSAD2,TNFSF10	14
Cell Death and Survival,Organismal Injury and Abnormalities	Apoptosis of leukocytes	6.10E-17	ADORA2A,CCL19,CCL4,CCL5,CCR7,CD226,CD38,CD70,CD80,CXCL1,CXCL2,CXCL8,HSH2D,IDO1,IL15RA,IL1A,IL1B,IL27,IL2RA,IL7R,IRF4,ISG15,JAK3,NAMPT,PAX5,THBS1,TNFSF10,TRAF1,WNT5A,ZBP1	30
Cell-mediated Immune Response,Cellular Function and Maintenance,Hematological System Development and Function	T cell homeostasis	6.81E-17	CCL19,CCL5,CCR7,CD226,CD38,CD70,CD80,CLEC4E,CXCL1,CXCL10,CXCL5,DDX58,IDO1,IL12B,IL15RA,IL1A,IL1B,IL27,IL2RA,IL7R,IRF4,ITGB8,JAK3,LAG3,MDK,PAX5,PTGS2,RSAD2,SOCS2,SOCS3,STAT4,TNFSF10,WNT5A	33
Cell-To-Cell Signaling and Interaction,Cellular Movement,Immune Cell Trafficking	Attraction of leukocytes	7.85E-17	CCL19,CCL20,CCL4,CCL5,CXCL1,CXCL10,CXCL13,CXCL3,CXCL5,CXCL8,FPR2,IL12B,IL1B,VCAN	14
Hematological System Development and Function,Inflammatory Response,Tissue Morphology	Quantity of phagocytes	1.21E-16	ADORA2A,CCL19,CCL20,CCR7,CLEC4D,CLEC4E,CRLF2,CXCL10,CXCL13,CXCL2,CXCL8,FPR2,IDO1,IL12B,IL15RA,IL1A,IL1B,IL2RA,IL7R,IRF4,JAK3,MDK,PDE4B,PLAC8,PTGIR,SERPINB2,SOCS3,STAT4,THBS1,TNFSF10,WNT5A	31
Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking,Inflammatory Response	Cellular infiltration by phagocytes	1.25E-16	ADAM19,ADORA2A,AIM2,C1QTNF1,CCL19,CCL4,CFB,CXCL10,CXCL2,CXCL3,CXCL5,CXCL8,FPR2,IL15RA,IL1A,IL1B,IL27,IL2RA,IRF7,JAK3,MDK,NCF1,PTGES,PTGS2,SOCS3,WNT5A	26
Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking,Inflammatory Response	Chemotaxis of neutrophils	1.25E-16	ADORA2A,CCL19,CCL23,CCL4,CCL5,CCL8,CCR7,CXCL1,CXCL10,CXCL2,CXCL3,CXCL5,CXCL8,FPR2,IL1B,MDK,PDE4B,S100A12,TNFAIP6	19
Cellular Development,Cellular Growth and Proliferation,Embryonic Development,Hematological System Development and Function,Hematopoiesis,Lymphoid Tissue Structure and Development,Organ Development,Organismal Development,Tissue Development	Lymphopoiesis	1.33E-16	CCL19,CCL5,CCR7,CD226,CD38,CD70,CD80,CLEC4E,CRLF2,CXCL1,CXCL10,CXCL5,DDX58,IDO1,IL12B,IL15RA,IL1A,IL1B,IL27,IL2RA,IL7R,IRF4,ITGB8,JAK3,MDK,PAX5,PTGS2,RSAD2,SIGLEC10,SLAMF1,SNAI1,SOCS2,SOCS3,STAT4,TNFSF10,WNT5A	36
Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking	Homing of mononuclear leukocytes	1.38E-16	ADORA2A,CCL19,CCL20,CCL23,CCL4,CCL5,CCL8,CCR7,CXCL10,CXCL13,CXCL3,CXCL8,ENPP2,FPR2,IL12B,IL1B,JAK3,S100A12,SOCS3,THBS1,WNT5A	21
Cellular Movement	Homing of cells	1.68E-16	ADORA2A,CCL19,CCL20,CCL23,CCL4,CCL5,CCL8,CCR7,CD38,CXCL1,CXCL10,CXCL13,CXCL2,CXCL3,CXCL5,CXCL8,ENPP2,FPR2,IL12B,IL1A,IL1B,JAK3,MDK,PDE4B,PLXNA4,PTGES,PTGS2,S100A12,SLAMF1,SOCS3,THBS1,TNFAIP6,WNT5A	33
Cell-To-Cell Signaling and Interaction,Hematological System Development and Function	Response of lymphocytes	1.84E-16	ADORA2A,CCL19,CCR7,CD226,CD38,CD70,CD80,CXCL8,EBI3,IL12B,IL1B,IL27,IL2RA,IL7R,ITGB8,LAG3,NAMPT,OASL,SIGLEC10,SOCS3,STAT4	21
